name	commits
tensorflow/compiler/tf2xla/kernels/function_ops.cc	6
tensorflow/compiler/tf2xla/kernels/gather_op.cc	6
tensorflow/compiler/tf2xla/kernels/gather_op_helpers.h	6
tensorflow/compiler/tf2xla/kernels/identity_op.cc	6
tensorflow/compiler/tf2xla/kernels/if_op.cc	6
tensorflow/compiler/tf2xla/kernels/if_op.h	1
tensorflow/compiler/tf2xla/kernels/image_ops.cc	6
tensorflow/compiler/tf2xla/kernels/image_resize_ops.cc	6
tensorflow/compiler/tf2xla/kernels/index_ops.cc	6
tensorflow/compiler/tf2xla/kernels/index_ops.h	1
tensorflow/compiler/tf2xla/kernels/index_ops_cpu.cc	6
tensorflow/compiler/tf2xla/kernels/index_ops_kernel_argmax_float_1d.cc	6
tensorflow/compiler/tf2xla/kernels/index_ops_kernel_argmax_float_2d.cc	6
tensorflow/compiler/tf2xla/kernels/l2loss_op.cc	6
tensorflow/compiler/tf2xla/kernels/listdiff_op.cc	4
tensorflow/compiler/tf2xla/kernels/lrn_ops.cc	6
tensorflow/compiler/tf2xla/kernels/matmul_op.cc	6
tensorflow/compiler/tf2xla/kernels/matrix_band_part_op.cc	6
tensorflow/compiler/tf2xla/kernels/matrix_set_diag_op.cc	6
tensorflow/compiler/tf2xla/kernels/matrix_triangular_solve_op.cc	2
tensorflow/compiler/tf2xla/kernels/mirror_pad_op.cc	6
tensorflow/compiler/tf2xla/kernels/no_op.cc	6
tensorflow/compiler/tf2xla/kernels/one_hot_op.cc	5
tensorflow/compiler/tf2xla/kernels/pack_op.cc	6
tensorflow/compiler/tf2xla/kernels/pad_op.cc	6
tensorflow/compiler/tf2xla/kernels/pooling_ops.cc	6
tensorflow/compiler/tf2xla/kernels/qr_op.cc	1
tensorflow/compiler/tf2xla/kernels/quantize_and_dequantize_op.cc	6
tensorflow/compiler/tf2xla/kernels/random_ops.cc	6
tensorflow/compiler/tf2xla/kernels/reduce_window_op.cc	6
tensorflow/compiler/tf2xla/kernels/reduction_ops.cc	6
tensorflow/compiler/tf2xla/kernels/reduction_ops.h	6
tensorflow/compiler/tf2xla/kernels/reduction_ops_common.cc	6
tensorflow/compiler/tf2xla/kernels/relu_op.cc	6
tensorflow/compiler/tf2xla/kernels/reshape_op.cc	6
tensorflow/compiler/tf2xla/kernels/retval_op.cc	6
tensorflow/compiler/tf2xla/kernels/reverse_op.cc	6
tensorflow/compiler/tf2xla/kernels/reverse_sequence_op.cc	6
tensorflow/compiler/tf2xla/kernels/scan_ops.cc	6
tensorflow/compiler/tf2xla/kernels/scatter_nd_op.cc	5
tensorflow/compiler/tf2xla/kernels/segment_reduction_ops.cc	6
tensorflow/compiler/tf2xla/kernels/select_op.cc	6
tensorflow/compiler/tf2xla/kernels/sendrecv_ops.cc	6
tensorflow/compiler/tf2xla/kernels/sequence_ops.cc	6
tensorflow/compiler/tf2xla/kernels/shape_op.cc	6
tensorflow/compiler/tf2xla/kernels/shape_util.cc	1
tensorflow/compiler/tf2xla/kernels/shape_util.h	2
tensorflow/compiler/tf2xla/kernels/slice_op.cc	6
tensorflow/compiler/tf2xla/kernels/softmax_op.cc	6
tensorflow/compiler/tf2xla/kernels/sort_ops.cc	4
tensorflow/compiler/tf2xla/kernels/spacetobatch_op.cc	6
tensorflow/compiler/tf2xla/kernels/spacetodepth_op.cc	6
tensorflow/compiler/tf2xla/kernels/sparse_to_dense_op.cc	2
tensorflow/compiler/tf2xla/kernels/split_op.cc	6
tensorflow/compiler/tf2xla/kernels/stack_ops.cc	6
tensorflow/compiler/tf2xla/kernels/stateless_random_ops.cc	6
tensorflow/compiler/tf2xla/kernels/strided_slice_op.cc	6
tensorflow/compiler/tf2xla/kernels/tensor_array_ops.cc	6
tensorflow/compiler/tf2xla/kernels/tile_ops.cc	6
tensorflow/compiler/tf2xla/kernels/topk_op.cc	6
tensorflow/compiler/tf2xla/kernels/training_ops.cc	6
tensorflow/compiler/tf2xla/kernels/transpose_op.cc	6
tensorflow/compiler/tf2xla/kernels/unary_ops.cc	6
tensorflow/compiler/tf2xla/kernels/unpack_op.cc	6
tensorflow/compiler/tf2xla/kernels/variable_ops.cc	6
tensorflow/compiler/tf2xla/kernels/while_op.cc	6
tensorflow/compiler/tf2xla/kernels/while_op.h	1
tensorflow/compiler/tf2xla/kernels/xla_broadcast_helper_op.cc	1
tensorflow/compiler/tf2xla/kernels/xla_conv_op.cc	1
tensorflow/compiler/tf2xla/kernels/xla_dot_op.cc	1
tensorflow/compiler/tf2xla/kernels/xla_pad_op.cc	1
tensorflow/compiler/tf2xla/kernels/xla_reduce_op.cc	1
tensorflow/compiler/tf2xla/kernels/xla_select_and_scatter_op.cc	1
tensorflow/compiler/tf2xla/lib/BUILD	6
